"NPMin5","NPMin2","NPPeak","NP2","NP5","RMin5","RMin2","RPeak","R2","R5","CUEMin5","CUEMin2","CUEPeak","CUE2","CUE5","TpkNP","TpkR","TpkNP_SD","TpkR_SD","TpkRealNP","TpkRealR","ENP","ER","B0R","B0NP","ID_R","ID_NP","B0_NP_MeanT","B0_R_MeanT","B0_NP_MinT","B0_R_MinT","V32","c","E","Species","Type"
"1.12247302870885","1.12297508782336","1.12309265929976","1.12300509031682","1.12278249488905","1.0186151051578","1.01990054196598","1.02118258396402","1.02252949025332","1.0240241920787","0.524253537700825","0.524050519877235","0.523763291502781","0.523415050256799","0.523001209985478","31.389702417968","76.85","2.88662052782837","23457554.4835167","30.315083","43.530403",1.56700363528569,0.248209910246951,"8.09463893330659e-09","7.37566901152344e-08","MTD3355","MTD3351","1.14180963356444e-07","1.27719462463833e-08",7.33471674525928e-08,8.07613992616375e-09,"Ter",9.08195847560475,0.158397788401875,"Arthrocnemum bidens","C3"
"85631056639106208","743375193374322432","1913293617320439296","437808386676479616","2862688179619736","25.7631211820999","51.1045512090823","111.002483704988","209.763406823157","110.585630472552","1","1","1","1","0.999999999999961","33.466809367992","36.408374213588","0.631048821813533","0.0848949188314021","31.640532","35.159817",0.256343847248211,0.581514183878014,"7.82572076866724e-07","2.08880988645029e-05","MTD3424","MTD3421","3.90477218282128e-05","3.3969209616117e-06",3.03068138345972e-05,1.82599026075031e-06,"Ter",16.5974674049707,2.26849284708967,"Zea mays","C4"
"1.66940861239708","1.77696583737742","1.87581842935833",NA,NA,"1.09388647222469","1.12505498292666","1.16604595675637",NA,NA,"0.604136931190461","0.612320154612545","0.616667343199436",NA,NA,"36.480586835822","76.85","2.6524597081829","44083511.4275269","34.3","34.3",0.397192290445139,0.528412253252465,"2.67824415390596e-08","1.76933550161784e-07","MTD3595","MTD3594","5.28941635704875e-07","1.15701331544499e-07",4.42155012375804e-07,9.06617076600202e-08,"Ter",4.87697644118813,1.33036885650592,"Phillyrea latifolia","C3"
"1878.75904123025","5241.35099619308","7266.2858130261","5552.60270154892","2961.59203417273","3.23788553795513","4.62410263679394","6.26929308370977","7.86162376225868","9.15426060606263","0.998279547914292","0.999118542778096","0.9991379517938","0.998586156964181","0.996918531675979","24.627581266274","68.136047698642","2.86202583185957","71039.1989427995","25.596012","37.32818",1.4050815577409,1.7418333161443,"2.45736672281043e-07","2.01469226329126e-06","MTD3686","MTD3681","6.81536299748761e-06","1.13894063285062e-06",4.25337515072742e-06,6.17500571021854e-07,"Ter",6.88805055465591,1.23966705459065,"Arbutus unedo","C3"
"1.00000029423438","1.00000031020787","1.00000031570257","1.00000031084886","1.00000029732476","1.00000003835441","1.00000004504711","1.00000005258032","1.00000006095946","1.00000007015415","0.500000063969983","0.500000066290178","0.500000065780551","0.500000062472339","0.500000056792641","38.720149897995","76.85","0.305690526433949","118.012398557176","38","46",0.712821574634791,0.593533697931293,"6.4665389246608e-15","4.96344102350446e-14","MTD3712","MTD3710","1.88275884188552e-13","2.15243186854661e-14",4.96344102350446e-14,6.4665389246608e-15,"Ter",7.6755758858512,0.832653947427707,"Atriplex lentiformis","C4"
"1.00000013435341","1.00000014105265","1.00000014326538","1.00000014121162","1.00000014003346","1.00000005628415","1.00000006506521","1.00000007440097","1.00000008409746","1.00000008671411","0.500000019517314","0.500000018996859","0.500000017216101","0.500000014278537","0.500000013329836","40.692292477708","76.85","0.898227395150526","151.316490836995","40","46",0.749948472797887,0.558867549813866,"8.51321787687694e-15","1.82506957891171e-14","MTD3713","MTD3711","7.59218618445529e-14","2.5958612020582e-14",2.0288012597543e-14,9.21442081468466e-15,"Ter",2.20176753434256,0.745207931058061,"Spinacia oleracea","C3"
"2650112349885680","19554278121688972","45170009799083448","12524374483249070","190602728605491","10.1476843606371","14.4564360140594","20.9965280461672","30.8664277527184","45.5489274929504","0.999999999999996","0.999999999999999","1","0.999999999999998","0.999999999999761","33.24694790059","76.85","0.15432743010557","241.686760807501","33","39",0.276193485307685,0.626381430621072,"6.04878634058197e-07","1.83971579326342e-05","MTD3894","MTD3903","2.65135646428479e-05","1.28817527167599e-06",1.76743545514001e-05,5.5513611931788e-07,"Ter",31.8378753180704,2.26790805700312,"Crupina vulgaris","C3"
"Inf","Inf","Inf",NA,NA,"Inf","Inf","Inf",NA,NA,"NaN","NaN","NaN",NA,NA,"76.85","37.117766698401","3106.03943099233","8.16230594808126","35","35",0.442896291409541,0.512193596587789,"0.00131521008577672","0.00688986478609825","MTD3994","MTD3993","0.00853340755404292","0.00263254842193173",0.00688986478609825,0.00131521008577672,"Ter",5.23860397711999,1.15646395447951,"Arbutus unedo","C3"
"121759155.878745","2128489880.50983","29033976317.4255",NA,NA,"2.45363899593436","2.7486398366987","3.09842400015274",NA,NA,"0.999999979848423","0.999999998708643","0.999999999893283",NA,NA,"76.85","76.85","28538.4661110248","12086.5216622793","26.738","35.176",0.894962808472784,0.241756936504746,"4.94639264601579e-07","6.87918422706078e-06","MTD4018","MTD4020","1.37279121225142e-05","6.37318762096203e-07",7.06425084579097e-06,4.98996899584951e-07,"Ter",14.1569032826993,0.270130707350056,"Bryum argenteum","C3"
"385485593652161792","9351453918751459328","26371044086569414656","8416548431124442112","270084652806620992","5864130.50019171","41706799.636263","215530386.031409","907117424.003839","3356189488.29506","0.999999999984788","0.99999999999554","0.999999999991827","0.999999999892222","0.999999987573565","26.348913231031","76.85","1.61282984239536","772.13657993885","29.763","37.788",0.586012190696659,0.909450327557237,"6.91561377154739e-06","1.96872032453973e-05","MTD4097","MTD4096","2.9354243316851e-05","1.10599257520544e-05",1.00798777130325e-05,2.84441985845317e-06,"Ter",3.54373763882877,1.55193073112706,"Euphorbia forbesii","C3"
"117805.783531247","245466.974462927","323134.346045245","247177.720069025","173606.606327799","1.63163995845261","1.71255736074318","1.80580056571075","1.90736594536923","1.96596082579653","0.999986149938388","0.999993023316409","0.999994411641794","0.9999922834824","0.999988675900044","32.922238339393","45.758481526123","0.65609319513781","94.8651607390788","32.155","28.965",0.639075848334755,0.537361652758605,"1.84592455395814e-07","3.39084954909239e-06","MTD4138","MTD4140","1.02441621292982e-05","5.13057852597012e-07",4.83554813629972e-06,2.50356818814743e-07,"Ter",19.3146252584312,0.840841746967614,"Colobanthus quitensis","C3"
"177.265157712142","278.04610929455","337.811066440617","256.527774976707","110.270511450198","181.696281589962","578.967811016399","2304.00528488136","11865.6618424891","82319.7379212666","0.493827855317224","0.32443593120829","0.127870760687651","0.0211618348723982","0.0013377471814795","9.160211569637","76.85","0.250070022187639","80722123.3722327","8.904","25.053",0.346602686510789,0.412967829963233,"7.42854789263946e-06","5.7946433822427e-06","MTD4239","MTD4245","5.47152917734065e-06","5.72202142114164e-06",4.67006121865994e-06,4.48664184413491e-06,"Ter",1.04088121604019,1.1914732517527,"Colobanthus quitensis","C3"
"984.430634618233","2279.57028669774","3301.57808156481","2225.05963973496","789.004907974749","45.9587218444852","124.468229444342","440.533750710734","1980.45090273037","10283.120733115","0.955396742448641","0.948225359698444","0.882276700842783","0.529081931258363","0.0712604727900377","10.896379394477","34.814704113606","0.363911612862049","7.83871757457028","10.304","28.585",0.600560982667377,0.523692910565193,"5.58047872101614e-06","8.05398189362622e-06","MTD4240","MTD4246","6.94323898598521e-06","4.1548752549193e-06",5.18766524908952e-06,3.01368544599321e-06,"Ter",1.72136918137448,0.872006216986031,"Colobanthus quitensis","C3"
"150.315849087823","204.632583752927","235.288328427227","195.111966346833","102.009307177979","3.93505866547191","8.27676860656054","21.3134224086064","61.5477643807599","173.771599903314","0.974489234956299","0.961125387331104","0.916939684397391","0.760197035170726","0.369892565288826","13.693701264831","65.21392451596","1.27202482308171","10975.9049107025","11.874","28.613",0.25076104826633,1.51064125664358,"2.40817248094314e-06","5.18798174206159e-06","MTD4241","MTD4247","4.6948431821027e-06","1.34001315732412e-06",3.98776845193589e-06,5.28023932492034e-07,"Ter",7.55224944656472,6.02422611919834,"Deschampsia antarctica","C3"
"37.8277794914076","43.9094594308638","46.735157291063","43.4972752589215","34.0349317087339","534.358717130157","1086.97044109496","2366.51358464503","5543.58304468846","14050.0351492931","0.0661109266205321","0.0388276946211944","0.0193660754811247","0.00778533201028553","0.00241655512312799","12.971633838175","76.85","0.833289117799772","165919104.76226","12.598","25.216",0.205039784908087,0.344125909542021,"8.11569062091541e-06","3.76197733060113e-06","MTD4242","MTD4248","3.53062648099957e-06","6.83014062980095e-06",3.1689427327795e-06,5.49925035476026e-06,"Ter",0.576249948329121,1.67833725389578,"Deschampsia antarctica","C3"
"338.391244390725","390.653599054445","414.25548070849","387.04929660744","305.284754269042","67.86365613704","127.796240335332","256.81799456448","549.690938421267","1246.88471529529","0.832953015338699","0.753503173063473","0.617302718662788","0.413187436745021","0.196682617623402","13.512396563571","40.749820567644","1.28625971104824","16.009521105257","13.273","28.941",0.134080267048038,0.490748784841262,"5.61791675506298e-06","5.91789124255885e-06","MTD4243","MTD4249","5.65764981979464e-06","4.45922101234177e-06",5.28895416043049e-06,3.38822462921672e-06,"Ter",1.56098096767958,3.66011192881528,"Deschampsia antarctica","C3"
"99.187580287321","120.342399902435","130.175098051515","117.749055515599","84.5511838651397","5.85916445375641","9.79751160954937","17.9984507747968","36.0393562443089","77.2444280664059","0.944223264907463","0.924715550397104","0.878531283637578","0.76565622967371","0.522580203849488","15.74365208248","76.85","1.25862091925037","1656.12254924294","15.297","28.362",0.216761361101712,1.04127358862645,"2.47387621799079e-06","4.51672801100332e-06","MTD4244","MTD4250","4.22647688825684e-06","1.78162494110272e-06",3.63051854058261e-06,8.78136799537624e-07,"Ter",4.13434278405623,4.80377860396368,"Phaseolus vulgaris","C3"
"7803336.26815976","35387815.0040401","70709882.5672744","23392820.1158113","754406.809253877","2.70215142795547","3.25243564601586","4.03653310184051","5.18821747378287","6.94026499069819","0.999999653718563","0.99999990809166","0.999999942914162","0.999999778213302","0.999990800452676","29.367857832508","37.929457693842","2.31514378459968","233901.784830458","27","39",0.393645863088723,0.528013230903782,"3.48247091469908e-07","7.43472116393118e-06","MTD4448","MTD4447","1.15589188912408e-05","6.31017307478689e-07",7.02183472670883e-06,3.22543990706371e-07,"Ter",21.7701613703328,1.34134073392961,"Phaseolus vulgaris","C3"
"3703677.60590636","7865174.10197148","12699311.6225693","3071777.35912714","7596.64307523113","2.61518381534813","2.96174648178109","3.42428683704383","4.02331115271214","4.76781240999911","0.999999293895893","0.999999623435498","0.999999730356572","0.999998690235192","0.999372772702269","35.971658450791","76.85","0.715888483632475","384209943.937883","34.2215","47.8794",0.174012572482548,0.349374860630702,"3.49404276065912e-07","9.24815623204667e-06","MTD4518","MTD4513","1.40516367954021e-05","8.09327675113174e-07",1.23713898205936e-05,6.2666508463497e-07,"Ter",19.741629339059,2.00775642613835,"Phaseolus vulgaris","C3"
