"","id","id_spp","id_process","E_sch","E_SE_sch","lnB0_sch","lnB0_SE_sch","lnB0Bug","E_D_sch","E_D_SE_sch","T_h_sch","T_h_SE_sch","T_pk_sch","P_pk_sch","P_pkBug","AIC_sch","r_sq_sch","AftPk","BefPk","MinVal","B0_renorm10"
"47","MTD3217","Coffea arabica","net photosynthesis",0.790402342980707,0.613034779287591,35.9946593990429,24.98209465705,FALSE,1.59203370247851,0.476813871094035,292.263980105602,1.57218437563836,293.329901,3.92826621754818,FALSE,0.332323492970799,0.942553754336809,5,3,NA,32.7796026786718
"48","MTD3218","Picea engelmannii","net photosynthesis",2.20752323489593,1.20142309186248,80.8427192279201,51.1210676976022,FALSE,2.20844794043227,1.11747545501225,298.051507038135,353.73716363179,293.152762,-12.8588044234393,FALSE,-14.6963860346642,0.951721162516349,1,5,NA,2.51398977731414e-06
"49","MTD3219","Populus tremuloides","net photosynthesis",0.163064236436537,0.074241109972314,-5.19147132802591,2.91876034884567,FALSE,3.60896380119173,3236183.24210183,350,224142881.333612,303.15,-11.4316048543871,FALSE,-11.3809176777303,0.9034046005996,0,4,NA,6.98063920622676e-06
"50","MTD3220","Populus tremuloides","net photosynthesis",0.0775913676853082,0.559403049822047,-8.45650987800904,22.0644898878884,FALSE,3.31594635982294,13862011.5402391,350,2208966527.23263,303.15,-11.4257722102032,FALSE,4.69299669792548,0.119800638044294,0,4,NA,8.84637395609718e-06
"51","MTD3221","Betula papyrifera","net photosynthesis",2.43498761016912e-13,1.45624311521275e-07,-11.1650671663655,0.0412001813751636,FALSE,5.7611607121429,12.3995377659928,267.987319858176,642646.966350126,291.15,-11.1650846551354,FALSE,-11.1580598042434,0.766227296992175,4,0,NA,1.41603154409058e-05
"52","MTD3222","Betula papyrifera","net photosynthesis",0.809400566300331,333.571821814078,25.8388224572016,13792.1715669144,FALSE,0.921148373655726,331.676356071437,272.580032397156,5728.47951114958,291.15,-10.9036884882728,FALSE,-11.9992573920363,0.83183016034893,4,0,NA,2.04388207200721e-05
"53","MTD3223","Larix laricina","net photosynthesis",0.159905992841952,0.491602460920993,-5.96802928176436,19.3902362692568,FALSE,44.005102487017,75166765.8372709,302.339234769203,1074233.72974019,300.15,-12.148465485349,FALSE,3.40103226900143,0.321578177100923,1,3,NA,3.65457137702954e-06
"54","MTD3224","Larix laricina","net photosynthesis",0.164051596228187,0.590760455254142,-5.51008644446176,23.301317273725,FALSE,44.2220962963202,90180151.9166602,302.329813221667,1303373.92435427,300.15,-11.8507520225983,FALSE,5.23843784324364,0.291774226512375,1,3,NA,4.87476691901852e-06
"55","MTD3225","Pinus banksiana","net photosynthesis",1.42774839301632,210398.899168034,55.5381658282627,8513453.94400947,FALSE,1.55419008384767,210397.957185662,255.745903038832,4285326.12584144,291.15,-12.3476782997157,FALSE,5.39506901136132,0.208548037526392,4,0,NA,5.00329552805546e-06
"56","MTD3226","Pinus banksiana","net photosynthesis",0.25089804765004,0.287449731835113,-2.37430701087281,11.3378572893472,FALSE,39.7370064586657,8087359.62339068,302.354718647794,120816.80943537,300.15,-12.0716257876762,FALSE,-1.965200271485,0.714881288557781,1,3,NA,3.19526174551793e-06
"57","MTD3227","Picea mariana","net photosynthesis",0.125109957704122,0.213594725027478,-7.55677814330954,8.42479961922216,FALSE,41.7170450583011,11183679.3392663,302.193981494442,204747.849581944,300.15,-12.392332490355,FALSE,-4.93489134426154,0.789522398406501,1,3,NA,3.10451346933131e-06
"58","MTD3228","Picea mariana","net photosynthesis",0.0916397259265805,0.38478049813771,-8.51533988108324,15.1768661917594,FALSE,45.6753813834379,27961340.8761465,302.043862795165,569070.082772206,300.15,-12.0572551855054,FALSE,0.951064749397469,0.822648474823261,1,3,NA,4.69079880438543e-06
