,Species,Species.1,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref,ConKingdom_len,ConKingdom_ES,ConKingdom_ES_max,ConKingdom_ES_min,ConKingdom_ES_median,ConPhylum_len,ConPhylum_ES,ConPhylum_ES_max,ConPhylum_ES_min,ConPhylum_ES_median,ConClass_len,ConClass_ES,ConClass_ES_max,ConClass_ES_min,ConClass_ES_median,ConOrder_len,ConOrder_ES,ConOrder_ES_max,ConOrder_ES_min,ConOrder_ES_median,ConFamily_len,ConFamily_ES,ConFamily_ES_max,ConFamily_ES_min,ConFamily_ES_median,ConGenus_len,ConGenus_ES,ConGenus_ES_max,ConGenus_ES_min,ConGenus_ES_median
10,85,Caloramator fervidus,Specific Growth Rate,3.3711004361125028,,,1,6,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,Fermentation,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,2.0,4.225705961612007,4.225705961612007,4.225705961612007,3.798403198862255
11,86,Caloramator indicus,Specific Growth Rate,4.225705961612007,335.8158,65.0104056052,1,4,0.4941327352039238,9.928718482783577,1.4668661603552446,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloramator,Fermentation,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,2.0,4.225705961612007,4.225705961612007,4.225705961612007,3.798403198862255
12,87,Caloranaerobacter azorensis,Specific Growth Rate,0.8559894279136121,337.6058,40.9724342237,1,5,2.88330465460898,21.567984914439172,0.20756999123152176,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Caloranaerobacter,Fermentation,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,1.0,0.8559894279136121,0.8559894279136121,0.8559894279136121,0.8559894279136121
13,93,Clostridium autoethanogenum,Specific Growth Rate,1.2303322333430289,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,4.0,0.7135864911871901,0.968158548095542,0.5778596792012474,0.791073430981293
14,94,Clostridium perfringens,Specific Growth Rate,0.968158548095542,316.8992,64.5680354757,1,19,0.5510321587712809,4.8462485925308405,0.14757706346049065,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,4.0,0.7135864911871901,0.968158548095542,0.5778596792012474,0.791073430981293
15,95,Clostridium perfringens,Specific Growth Rate,0.6139883138670441,317.4881,53.6439364916,1,19,0.6151334082946334,2.6795895574951216,0.07693186487967006,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,4.0,0.7135864911871901,0.968158548095542,0.5778596792012474,0.791073430981293
16,96,Clostridium perfringens,Specific Growth Rate,0.5778596792012474,320.2253,52.4813346601,1,18,0.5967821224321059,2.8324856671977403,0.04928979212825009,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Fermentation,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,4.0,0.7135864911871901,0.968158548095542,0.5778596792012474,0.791073430981293
17,559,Thermobrachium celere,Specific Growth Rate,0.010000000000000007,337.4777,1.16509648135,1,12,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Thermobrachium,Fermentation,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,9.0,1.0953906059230982,2.0209336599510923,0.6784447270315744,0.968158548095542,1.0,,,,0.010000000000000007
18,71,Blautia producta,Specific Growth Rate,2.228725478300232,,,1,5,,,,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,E1,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,1.0,,,,2.228725478300232,1.0,,,,2.228725478300232
19,117,Desulfitobacterium dehalogenans,Specific Growth Rate,0.8063662939456362,311.5898200000001,3.8549909045,1,16,0.4211978632425391,0.18424522055841264,0.09265922724554294,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfitobacterium,Fermentation,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,4.0,1.0614093033199126,1.599803547722449,0.818841574720879,0.9082746996090025,1.0,0.8063662939456362,0.8063662939456362,0.8063662939456362,0.8063662939456362
20,131,Desulfotomaculum alkaliphilum,Specific Growth Rate,0.8309490547852723,325.6328,1.07520706719,1,4,0.2180513471639688,0.033919829111789354,0.06044505525715702,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,C1,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,4.0,1.0614093033199126,1.599803547722449,0.818841574720879,0.9082746996090025,2.0,0.9105431186878031,0.9856003444327328,0.8309490547852723,0.9082746996090025
21,132,Desulfotomaculum putei,Specific Growth Rate,0.9856003444327328,337.2257,9.374208456369999,1,16,0.0,0.0,0.0,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,C1,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,4.0,1.0614093033199126,1.599803547722449,0.818841574720879,0.9082746996090025,2.0,0.9105431186878031,0.9856003444327328,0.8309490547852723,0.9082746996090025
22,347,Pelotomaculum thermopropionicum,Specific Growth Rate,2.0565617935392733,328.0234,1.57986468959,1,4,1.112341345677068,0.31560894948301016,0.8899558798466779,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,Fermentation,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,4.0,1.0614093033199126,1.599803547722449,0.818841574720879,0.9082746996090025,1.0,2.0565617935392733,2.0565617935392733,2.0565617935392733,2.0565617935392733
23,225,Heliobacillus mobilis,Specific Growth Rate,1.3436245483571243,311.498,6.21854681094,1,4,0.2013740549326513,0.18567294201406287,0.1153948965132369,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacillus,B9,Mesophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,2.0,0.9807149777654682,1.3436245483571243,0.6306193337146657,0.987121941035895,1.0,1.3436245483571243,1.3436245483571243,1.3436245483571243,1.3436245483571243
24,226,Heliobacterium modesticaldum,Specific Growth Rate,0.6306193337146657,325.3199,6.4320833882200015,1,9,0.7358193792554409,3.125856823139283,0.07601156406305612,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,B9,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,2.0,0.9807149777654682,1.3436245483571243,0.6306193337146657,0.987121941035895,1.0,0.6306193337146657,0.6306193337146657,0.6306193337146657,0.6306193337146657
25,348,Peptoclostridium paradoxum,Specific Growth Rate,0.8424425336385349,329.5821,0.380490304335,1,11,0.1950655274517189,0.008344537123521279,0.04421486174859267,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,Fermentation,Thermophile,416.0,0.8797929647658453,0.9274805399241757,0.837444875476804,0.843848507229175,124.0,0.9121138439820182,0.985477653347363,0.8400150406922484,0.8652955948630032,54.0,0.9470267192105661,1.1057633210571534,0.8177131754098376,0.8425311560733797,38.0,0.9985530413043255,1.2228218008714409,0.8379928166682369,0.8492159807760735,3.0,0.7868658877334526,0.8424425336385349,0.718054481603803,0.7967168069953985,3.0,0.7868658877334526,0.8424425336385349,0.718054481603803,0.7967168069953985
