"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","TempPref"
263,"Listeria monocytogenes","Specific Growth Rate",0.524891695550279,312.29829,35.8866700758,1,11,1.058730006292,12.2218494642327,0.0778315045578877,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
264,"Listeria monocytogenes","Specific Growth Rate",0.597040101497091,310.96,30.1077129814,1,23,0.484230317101384,1.43854279047316,0.0433233771532914,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
265,"Listeria monocytogenes","Specific Growth Rate",0.712268533937783,308.43,31.8601713077,1,21,0.533716919349696,1.25200527295585,0.0720307856871899,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
266,"Listeria monocytogenes","Specific Growth Rate",0.704294733018077,308.86,33.7582921535,1,21,0.450283288608507,1.11436021434228,0.0581085213271672,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
267,"Listeria monocytogenes","Specific Growth Rate",0.680831707107682,308.76,32.2729454155,1,22,0.545066151948674,1.48770187032218,0.0695190864286661,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
268,"Listeria monocytogenes","Specific Growth Rate",0.690021468277324,308.16,28.9721839791,1,23,0.459966074836065,1.01717584956125,0.058819144332526,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
269,"Listeria monocytogenes","Specific Growth Rate",0.986705788507281,311.4,38.3466601474,1,27,1.08101109216247,3.40128379302353,0.0629769099629909,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Aerobic","Mesophile"
270,"Marinithermus hydrothermalis","Specific Growth Rate",1.01909643690581,342.7237,59.3580997103,1,6,NA,NA,NA,"Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Marinithermus","Aerobic","Thermophile"
271,"Marinitoga piezophila","Specific Growth Rate",0.667963420714914,339.9238,52.2429503643,1,6,1.44639683450259,28.2317086677437,0.132393951601978,"Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Marinitoga","C19","Thermophile"
272,"Marinobacter alkaliphilus","Specific Growth Rate",0.507143287344266,308.52056,24.5962979513,1,6,1.58164407816713,2.68703189468645,0.133226353655929,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter","Aerobic","Mesophile"
273,"Marinobacter alkaliphilus","Specific Growth Rate",0.562046599664219,305.38338,24.2000510791,1,5,1.94887977935442,3.97948230210554,0.196474037236632,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter","Aerobic","Mesophile"
274,"Mastigocladus laminosus","Specific Growth Rate",0.897157904638699,325.6449,0.854094194111,1,3,1.68091644936346,165.309784126405,0.578007982107293,"Bacteria","Cyanobacteria","Cyanophyceae","Stigonematales","Mastigocladaceae","Mastigocladus","PhotosystemII","Thermophile"
275,"Mastigocladus laminosus","Specific Growth Rate",0.678570298962711,327.5561,1.31152629783,1,5,0.606351416259719,0.0613101673448233,0.104042191703386,"Bacteria","Cyanobacteria","Cyanophyceae","Stigonematales","Mastigocladaceae","Mastigocladus","PhotosystemII","Thermophile"
276,"Mastigocladus laminosus","Specific Growth Rate",1.65487880458098,323.9608,2.3864436972,1,4,0.434892124555143,0.127414520202452,0.248692152858006,"Bacteria","Cyanobacteria","Cyanophyceae","Stigonematales","Mastigocladaceae","Mastigocladus","PhotosystemII","Thermophile"
277,"Mastigocladus laminosus","Specific Growth Rate",0.828628534235393,326.3002,1.67349971796,1,5,0.716029154434534,0.109998508488796,0.137577513455208,"Bacteria","Cyanobacteria","Cyanophyceae","Stigonematales","Mastigocladaceae","Mastigocladus","PhotosystemII","Thermophile"
278,"Mastigocladus laminosus","Specific Growth Rate",0.966468618674748,322.4498,1.46307117527,1,4,0.936457400099676,0.18942985868468,0.248301348717098,"Bacteria","Cyanobacteria","Cyanophyceae","Stigonematales","Mastigocladaceae","Mastigocladus","PhotosystemII","Thermophile"
289,"Meiothermus chliarophilus","Specific Growth Rate",0.448528621523878,335.524,11.4889181777,1,6,1.56958193578597,4.24552352027275,0.0809628634601839,"Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Aerobic","Thermophile"
290,"Meiothermus chliarophilus","Specific Growth Rate",0.697481320693006,324.4496,11.7082413927,1,4,1.0999341616663,1.36060985118369,0.194282712027398,"Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Aerobic","Thermophile"
291,"Merismopedia tenuissima","Specific Growth Rate",4.2597402336148,NA,NA,1,4,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Merismopediaceae","Merismopedia","PhotosystemII","NA"
292,"Metallosphaera hakonensis","Specific Growth Rate",0.841582664818787,343.7838,0.906144965989,1,5,1.72528702635616,2.64430044290736,0.270541914559771,"Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Metallosphaera","C16","Thermophile"
293,"Methanobacterium sp. ivanov","Specific Growth Rate",0.718055049450243,315.5066,1.24965421875,1,4,0.791237758199319,0.147189818748682,0.186905373273229,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1","Mesophile"
294,"Methanobacterium sp. kuznetsov","Specific Growth Rate",0.692918522868654,312.9066,1.20545267025,1,4,2.28515550934001,3.39681221885548,0.292870073851346,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1","Mesophile"
295,"Methanobacterium sp. omeliansky","Specific Growth Rate",0.492932642366193,315.4613,1.04050572972,1,3,1.79544327331462,0.392614219037859,0.245239049741434,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1","Mesophile"
298,"Methanobacterium subterraneum","Specific Growth Rate",0.343632569126158,309.25868,3.47121755637,1,6,1.24662866965296,0.236731886916632,0.0651176228633126,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1","Mesophile"
299,"Methanobacterium thermaggregans","Specific Growth Rate",0.786872258867545,342.638,6.05729272022,1,4,NA,NA,NA,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium","D1","Thermophile"
301,"Methanocaldococcus jannaschii","Specific Growth Rate",0.639484427020645,357.1512,35.3374384875,1,6,0.984540862534634,2.90199778670643,0.0858002594104438,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","D1","Thermophile"
302,"Methanocaldococcus vulcanius","Specific Growth Rate",0.778375859933883,353.1898,21.0536725426,1,8,0.801723119287633,1.57277197402083,0.111956988984226,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanocaldococcaceae","Methanocaldococcus","D1","Thermophile"
303,"Methanococcus voltae","Specific Growth Rate",0.79331101445704,315.001,13.0818644507,1,4,NA,NA,NA,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanococcus","D1","Mesophile"
304,"Methanoculleus submarinus","Specific Growth Rate",0.851699225997844,315.2489,2.82133375162,1,15,0.205434077017469,0.0741974902686904,0.0471371938334009,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","D1","Mesophile"
305,"Methanoculleus thermophilus","Specific Growth Rate",0.342044621767655,329.1833,13.2506636091,1,11,1.23397252094581,2.09372875236438,0.0856099595559758,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanoculleus","D1","Thermophile"
306,"Methanogenium frigidum","Specific Growth Rate",1.06810863595002,286.22014,0.255177099283,1,10,0.487662189438255,0.0270426284117351,0.25297311276958,"Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae","Methanogenium","D1","Mesophile"
307,"Methanohalophilus portucalensis","Specific Growth Rate",0.757526273138156,310.7983,1.46658505127,1,4,1.10932037799539,0.850380362068043,0.165769418280765,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanohalophilus","D1","Mesophile"
308,"Methanolobus psychrophilus","Specific Growth Rate",0.755732592670222,290.5932593,1.52789365281,1,3,0.841488955894172,1.83553519904894,0.207784764017068,"Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanolobus","D1","Mesophile"
311,"Methanopyrus kandleri","Specific Growth Rate",1.75067504796252,377.2962,18.3060136461,1,5,0.718837387731213,1.3198114640394,0.332185435438208,"Archaea","Euryarchaeota","Methanopyri","Methanopyrales","Methanopyraceae","Methanopyrus","D1","Thermophile"
312,"Methanopyrus kandleri","Specific Growth Rate",1.50845814748791,373.7937,13.6913589647,1,5,0.688094295863739,0.824223887517693,0.25921484089669,"Archaea","Euryarchaeota","Methanopyri","Methanopyrales","Methanopyraceae","Methanopyrus","D1","Thermophile"
318,"Methanothermococcus okinawensis","Specific Growth Rate",0.758202659996781,338.7003,27.5198622039,1,6,0.97168566001107,2.06998894526846,0.147535731252785,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus","D1","Thermophile"
319,"Methanothermococcus thermolithotrophicus","Specific Growth Rate",0.549414548739231,335.55,18.5143466971,1,8,1.18048491878417,2.50456721025379,0.090712407611937,"Archaea","Euryarchaeota","Methanococci","Methanococcales","Methanococcaceae","Methanothermococcus","D1","Thermophile"
320,"Microcystis aeruginosa","Specific Growth Rate",2.05388623065161,306.35,1.11986037698,1,4,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
321,"Microcystis aeruginosa","Specific Growth Rate",1.41696363929265,304.75,0.48957437556,1,3,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
322,"Microcystis aeruginosa","Specific Growth Rate",1.41916272595978,304.05,0.626492771845,1,4,0.652221055365934,0.104462560590664,0.325137302877646,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
323,"Microcystis aeruginosa","Specific Growth Rate",0.632115115460457,305.15,1.17566461794,1,3,1.91945602585354,3.52590007123627,0.486131694063349,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
324,"Microcystis aeruginosa","Specific Growth Rate",1.74016284622037,302.75,0.947537025242,1,3,0.892227344842987,0.218619636223348,0.734845700497513,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
325,"Microcystis aeruginosa","Specific Growth Rate",0.457987461966241,304.65,1.14791525425,1,3,0.693965863706873,0.396317044667153,0.0946649095488504,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
326,"Microcystis wesenbergii","Specific Growth Rate",0.225350173145747,309.75,0.229736050091,1,4,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Chroococcales","Microcystaceae","Microcystis","PhotosystemII","Mesophile"
328,"Moritella marina","Specific Growth Rate",0.845077235950126,290.448978241,5.82673642349,1,5,0.427582800375175,1.01133201953454,0.218063669978231,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella","Aerobic","Mesophile"
329,"Moritella marina","Specific Growth Rate",1.12846764779841,295.875923361,12.2974701972,1,8,0.534775457552167,1.03634454022783,0.202940837976077,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Moritella","Aerobic","Mesophile"
331,"N-fixing unicellular cyanobacterium strain a 2.5","Specific Growth Rate",2.20739001142581,302.55,1.44646026395,1,5,0.336193729254449,0.821442149877926,0.951000997179188,"Bacteria","Cyanobacteria",NA,NA,NA,NA,"PhotosystemII","Mesophile"
332,"N-fixing unicellular cyanobacterium strain p-3","Specific Growth Rate",1.89745250104068,302.55,1.22855169618,1,5,0.388437009787119,2.93076876602982,1.01624266222671,"Bacteria","Cyanobacteria",NA,NA,NA,NA,"PhotosystemII","Mesophile"
333,"N-fixing unicellular cyanobacterium strain p-7","Specific Growth Rate",11.6648980550452,301.55,0.649363069187,1,4,0.11231537740971,0.140491944656356,4.34971258246138,"Bacteria","Cyanobacteria",NA,NA,NA,NA,"PhotosystemII","Mesophile"
334,"Natrialba asiatica","Specific Growth Rate",0.385585815057062,316.9448,13.1361194641,1,11,0.421699371590806,0.282432949009151,0.0346879723009294,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrialba","Aerobic","Mesophile"
335,"Natrinema pellirubrum","Specific Growth Rate",0.296062273552538,324.676,15.583624473,1,15,0.28575513993634,0.169510800352184,0.0105613381077521,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","Aerobic","Thermophile"
336,"Natronobacterium gregoryi","Specific Growth Rate",0.409233194104221,318.9676,14.5771105413,1,12,0.410353006568828,0.407104553241461,0.0352152607287413,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronobacterium","Aerobic","Mesophile"
337,"Natronococcus occultus","Specific Growth Rate",0.608390896329959,319.0631,12.4253656818,1,12,0.652028765263449,1.82531082475425,0.117685389182341,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronococcus","Aerobic","Mesophile"
338,"Natronomonas pharaonis","Specific Growth Rate",0.577449470947252,318.1038,14.5944899355,1,11,0.404435099861615,0.285834952877162,0.0474870310667311,"Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Natronomonas","Aerobic","Mesophile"
339,"Natronorubrum bangense","Specific Growth Rate",0.454363895580833,318.7757,13.5372784674,1,12,0.226630955520254,0.275648098944797,0.0252043883321373,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","Aerobic","Mesophile"
340,"Nitrosotalea sp. nd2","Specific Growth Rate",0.602477852336275,309.9312,0.691471437652,1,5,1.30523956748668,0.505994344932593,0.187507274445671,"Archaea","Thaumarchaeota",NA,NA,NA,"Candidatus Nitrosotalea","AmmoniaOxidation","Mesophile"
341,"Nocardioides sp. k44","Specific Growth Rate",0.815255707065838,297.189,0.266847460555,1,6,1.33850689060967,0.0517488201467006,0.299375639573438,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","Aerobic","Mesophile"
342,"Oscillatoria e17","Specific Growth Rate",0.607255173281411,293.15,0.247006388156,1,4,1.57631194332285,0.0430868760711916,0.244490459593168,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Oscillatoria","PhotosystemII","Mesophile"
343,"Oscillatoria o-salt","Specific Growth Rate",0.871298186753725,295.65,0.35883612445,1,4,2.47725220883895,0.999456002090676,0.211289128858751,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Oscillatoria","PhotosystemII","Mesophile"
345,"Oscillatoria sp.","Specific Growth Rate",0.304805888679838,NA,NA,1,4,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Oscillatoria","PhotosystemII","NA"
346,"Palaeococcus helgesonii","Specific Growth Rate",0.92363341239345,351.0923,20.8754779636,1,5,1.06482777128855,2.52240049285108,0.223077327824227,"Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Palaeococcus","C19","Thermophile"
347,"Pelotomaculum thermopropionicum","Specific Growth Rate",2.05656179353927,328.0234,1.57986468959,1,4,1.11234134567707,0.31560894948301,0.889955879846678,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Pelotomaculum","Fermentation","Thermophile"
348,"Peptoclostridium paradoxum","Specific Growth Rate",0.842442533638535,329.5821,0.380490304335,1,11,0.195065527451719,0.00834453712352128,0.0442148617485927,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","Fermentation","Thermophile"
349,"Peptoclostridium paradoxum","Specific Growth Rate",0.718054481603803,327.8585,0.485887569438,1,15,0.709360021427927,0.0295676221615446,0.105001331291945,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","Fermentation","Thermophile"
350,"Peptoclostridium thermoalcaliphilum","Specific Growth Rate",0.796716806995398,322.1641,59.0404513081,1,13,0.452443101395184,3.05160951659517,0.0885824530260512,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium","Fermentation","Thermophile"
351,"Persephonella guaymasensis","Specific Growth Rate",0.520969681193058,343.9695,3.01420113267,1,10,0.783791496509294,0.235560410693499,0.157802716768656,"Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","B1","Thermophile"
352,"Persephonella marina","Specific Growth Rate",1.19814979772181,345.6446,4.90295176837,1,9,0.336422115801045,0.174570510319209,0.151987501578437,"Bacteria","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","B1","Thermophile"
353,"Phormidium e11a","Specific Growth Rate",1.51077928837453,290.85,0.193867744241,1,3,3.44373927711495,0.11323130432749,1.28408499588927,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
354,"Phormidium e11b","Specific Growth Rate",0.302964189989336,295.25,0.196588502091,1,4,2.04740319746972,0.398697982874428,0.104849667099499,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
355,"Phormidium e12","Specific Growth Rate",0.336632303980845,301.25,0.289791510462,1,5,6.64166697985069,0.114235995053748,0.11798033764055,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
356,"Phormidium e18","Specific Growth Rate",0.416676119117515,301.45,0.442986098236,1,5,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
357,"Phormidium e2","Specific Growth Rate",1.90973744476091,289.65,0.238319169664,1,3,0.922785002045648,0.0384147021373423,0.627414893550429,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
358,"Phormidium e5","Specific Growth Rate",1.50920492873587,290.85,0.193864935892,1,3,3.31596796799584,0.113319831758979,1.27257816900628,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
359,"Phormidium e6a","Specific Growth Rate",0.302964189989336,295.25,0.196588502091,1,4,2.09795058732939,0.057244074688399,0.108007858031296,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
360,"Phormidium e7","Specific Growth Rate",1.90973744476091,289.65,0.238319169664,1,3,0.905222168819922,0.0354079254934296,0.611849542468703,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
363,"Phormidium o043","Specific Growth Rate",0.656256764264657,295.95,0.254277822001,1,4,1.290800747527,0.127665930335573,0.250479015531509,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
364,"Phormidium o099","Specific Growth Rate",1.06008242000705,293.25,0.361153580381,1,4,1.79385705122481,0.395922187610427,0.396775826059355,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
365,"Phormidium o102","Specific Growth Rate",0.338960493032131,296.35,0.24995724495,1,4,10.1339373452591,0.157343775142786,0.1298503453369,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
366,"Phormidium o104","Specific Growth Rate",1.43782312733812,292.55,0.300610179415,1,3,1.80160806225839,0.0820454802427278,0.826124661443534,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
367,"Phormidium o120","Specific Growth Rate",0.301613660368314,NA,NA,1,7,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","NA"
368,"Phormidium o152","Specific Growth Rate",0.728423385680931,300.15,0.180505621918,1,5,2.08396923588769,0.303231550118958,0.337773099425772,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
369,"Phormidium o154","Specific Growth Rate",0.085388497382908,301.85,0.11940755591,1,4,6.80243956239385,0.0125193132419912,0.032519911926136,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
370,"Phormidium o157","Specific Growth Rate",1.76452641985457,290.85,0.244485724109,1,3,1.55658644169452,0.449914367778581,0.236506810746144,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
371,"Phormidium o160","Specific Growth Rate",0.102884364145174,301.25,0.132940301987,1,5,8.2935964667919,0.0344783945353288,0.119792742531832,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
372,"Phormidium o202","Specific Growth Rate",0.474698641471975,300.45,0.338639172164,1,5,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
373,"Phormidium o203","Specific Growth Rate",2.01796708931066,290.95,0.290920449268,1,3,2.01405876209255,0.0911091413224905,1.01934105777239,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
374,"Phormidium o204","Specific Growth Rate",0.846705005687461,291.75,0.30045014959,1,3,2.80482252516737,0.125525621809997,0.656708460005863,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
375,"Phormidium o210","Specific Growth Rate",2.24711855453915,288.65,0.266475138221,1,3,1.48947583695189,0.0730721718073861,1.16878567566759,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
376,"Phormidium o211","Specific Growth Rate",1.27987840018936,288.55,0.353317591437,1,3,1.47632026375341,0.0848134942638999,0.660280204106485,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Phormidium","PhotosystemII","Mesophile"
377,"Phormidium simplicissimum","Specific Growth Rate",0.143320628129479,NA,NA,1,3,NA,NA,NA,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Phormidium","PhotosystemII","NA"
378,"Picrophilus oshimae","Specific Growth Rate",0.888933879400469,332.2686,1.95115878218,1,4,1.22087666363923,18.8875669949254,0.418204160855272,"Archaea","Euryarchaeota","Thermoplasmata","Thermoplasmatales","Picrophilaceae","Picrophilus","Fermentation","Thermophile"
379,"Planktothrix agardhii","Specific Growth Rate",1.79254490029245,NA,NA,1,7,6.11085100456696,0.00216222050232502,0.0852424126398141,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Planktothrix","PhotosystemII","NA"
380,"Planktothrix agardhii","Specific Growth Rate",1.30998060054629,NA,NA,1,5,0,0,0,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Oscillatoriaceae","Planktothrix","PhotosystemII","NA"
381,"Planktothrix agardhii","Specific Growth Rate",0.556215204659737,302.45,0.857381109406,1,3,0.0490631226075257,0.00253554862969811,0.0081454234444125,"Bacteria","Cyanobacteria","Cyanophyceae","Oscillatoriales","Phormidiaceae","Planktothrix","PhotosystemII","Mesophile"
382,"Planococcus halocryophilus","Specific Growth Rate",0.885288962879943,300.79993292,0.939386002856,1,9,2.91795786292346,0.238909519827952,0.383579857498245,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus","Aerobic","Mesophile"
383,"Prochlorococcus marinus","Specific Growth Rate",0.520930923636846,300.55,0.524297974991,1,9,2.13939823160404,0.0947087845048335,0.0602060868774906,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
384,"Prochlorococcus marinus","Specific Growth Rate",0.944405768705995,300.55,0.511486243063,1,10,0.734608471312048,0.0795679874758256,0.280363145529512,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
385,"Prochlorococcus marinus","Specific Growth Rate",0.979163089864335,299.15,0.658839614272,1,10,0.488347048726731,0.0591402782316149,0.200628555618448,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
386,"Prochlorococcus marinus","Specific Growth Rate",0.771734532146702,298.15,0.513905415163,1,8,0.654538197520995,0.171893654086307,0.221971004990752,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
387,"Prochlorococcus marinus","Specific Growth Rate",0.730556926969306,301.35,0.527186642574,1,10,0.677377602778655,0.214488858384889,0.182413216790137,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
388,"Prochlorococcus marinus","Specific Growth Rate",0.902139826644146,297.75,0.647594727501,1,6,0.622913949723809,1.34811845071398,0.154877617265995,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
389,"Prochlorococcus marinus","Specific Growth Rate",1.01721285956002,297.75,0.700973108291,1,6,0.842821444702513,0.773401672590837,0.318387145279005,"Bacteria","Cyanobacteria","Cyanophyceae","Synechococcales","Synechococcaceae","Prochlorococcus","PhotosystemII","Mesophile"
390,"Profundimonas piezophila","Specific Growth Rate",0.0100059589948951,283.25984,0.320741387236,1,3,5.96538154090578,0.0828264371724264,0.111380347898773,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Profundimonas","Aerobic","Mesophile"
391,"Pseudoalteromonas antarctica","Specific Growth Rate",0.532056573697389,291.35,5.17474184548,1,6,0.759057731664899,0.317719514459477,0.123529496985642,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Aerobic","Mesophile"
392,"Pseudoalteromonas haloplanktis","Specific Growth Rate",0.506797719590243,296.1395,13.276648828,1,7,0.426992458949901,0.477347456340103,0.0491859379425694,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Aerobic","Mesophile"
