"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","TempPref"
75,"Brevibacterium sp. cr3/1/15","Specific Growth Rate",1.01258109053565,292.105568863,2.00200553219,1,23,1.83418495974486,103.207881519117,0.529750854489708,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Fermentation","Mesophile"
76,"Brevibacterium sp. cr3/1/15","Specific Growth Rate",0.01,NA,NA,1,11,NA,NA,NA,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Fermentation","NA"
77,"Brochothrix thermosphacta","Specific Growth Rate",0.670414772529266,300.7637062,30.6035303515,1,6,1.86262865311181,86.4009173967659,0.0884749883054921,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Brochothrix","Aerobic","Mesophile"
78,"Caldanaerobacter subterraneus","Specific Growth Rate",0.842619778508224,339.9604,6.28240413727,1,5,1.06750595314524,0.649313065383051,0.204357015126291,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Caldanaerobacter","Fermentation","Thermophile"
79,"Caldanaerobacter subterraneus","Specific Growth Rate",1.02194525207481,347.3964,15.7551239424,1,4,1.02970998100815,2.02045276763159,0.260017717453232,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Caldanaerobacter","Fermentation","Thermophile"
80,"Caldanaerobacter subterraneus","Specific Growth Rate",1.00112078925881,347.0372,6.44707852824,1,7,0.465101064286138,0.2698344246361,0.100949315662661,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Caldanaerobacter","Fermentation","Thermophile"
81,"Caldicellulosiruptor obsidiansis","Specific Growth Rate",0.185055298452032,350.0893,15.9908926508,1,3,4.46435938406265,33.6160346639555,0.240886649285483,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","Caldicellulosiruptor","Fermentation","Thermophile"
82,"Caldisphaera draconis","Specific Growth Rate",1.90160980612994,344.25,0.652303494988,1,4,0.9944765355573,0.788537177929164,0.932580277421883,"Archaea","Crenarchaeota","Thermoprotei","Acidilobales","Caldisphaeraceae","Caldisphaera","C19","Thermophile"
85,"Caloramator fervidus","Specific Growth Rate",3.3711004361125,NA,NA,1,6,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloramator","Fermentation","NA"
86,"Caloramator indicus","Specific Growth Rate",4.22570596161201,335.8158,65.0104056052,1,4,0.494132735203924,9.92871848278358,1.46686616035524,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloramator","Fermentation","Thermophile"
87,"Caloranaerobacter azorensis","Specific Growth Rate",0.855989427913612,337.6058,40.9724342237,1,5,2.88330465460898,21.5679849144392,0.207569991231522,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Caloranaerobacter","Fermentation","Thermophile"
92,"Chlorobium tepidum","Specific Growth Rate",0.525073752999615,319.0125,7.76195589089,1,6,0.388277426590922,0.348651316297173,0.082907841890798,"Bacteria","Chlorobi","Chlorobia","Chlorobiales","Chlorobiaceae","Chlorobium","C9","Thermophile"
93,"Clostridium autoethanogenum","Specific Growth Rate",1.23033223334303,NA,NA,1,5,NA,NA,NA,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Fermentation","NA"
94,"Clostridium perfringens","Specific Growth Rate",0.968158548095542,316.8992,64.5680354757,1,19,0.551032158771281,4.84624859253084,0.147577063460491,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Fermentation","Thermophile"
95,"Clostridium perfringens","Specific Growth Rate",0.613988313867044,317.4881,53.6439364916,1,19,0.615133408294633,2.67958955749512,0.0769318648796701,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Fermentation","Thermophile"
96,"Clostridium perfringens","Specific Growth Rate",0.577859679201247,320.2253,52.4813346601,1,18,0.596782122432106,2.83248566719774,0.0492897921282501,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Fermentation","Thermophile"
97,"Colwellia demingiae","Specific Growth Rate",2.20964946447683,NA,NA,1,10,NA,NA,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Aerobic","NA"
98,"Colwellia hornerae","Specific Growth Rate",0.731880315030838,284.065,4.05448494646,1,11,0.490269966447031,0.300886623596338,0.190356370232779,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Aerobic","Mesophile"
99,"Colwellia psychrerythraea","Specific Growth Rate",0.460459879102393,286.0772,5.70651270814,1,13,0.308940107464195,0.154682794840849,0.0492641685820146,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Aerobic","Mesophile"
100,"Colwellia psychrotropica","Specific Growth Rate",0.44664955490405,291.0102,9.68275467274,1,14,0.318778669298917,0.252901102459144,0.0364809280796815,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Aerobic","Mesophile"
101,"Cylindrospermopsis raciborskii","Specific Growth Rate",1.88469933860169,302.05,0.827801635798,1,3,0.244203112183336,0.0468368145062533,0.242748450485516,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
102,"Cylindrospermopsis raciborskii","Specific Growth Rate",1.22664243712649,301.75,0.465669997249,1,3,1.30611579328308,0.0891231270731542,0.471323407299563,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
103,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.458162108122314,305.55,0.376057003533,1,4,2.62257767340385,0.594983502386396,0.250886387829426,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
104,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.458970179726166,305.55,0.585008288288,1,4,1.92925526547944,0.598523775753857,0.10601630322394,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
