Species,Species,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref
58,Bacillus cereus,Specific Growth Rate,1.1744393770535395,303.80461,40.6978665423,1,8,0.3938627171998773,2.249036680405267,0.11459427262802875,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile
59,Bacillus infernus,Specific Growth Rate,1.5465197068679302,332.4452,28.4704625638,1,4,0.375145930881996,86.17403622329105,0.1950226078767274,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,F14,Thermophile
60,Bacillus megaterium,Specific Growth Rate,0.9028032754357698,312.70380688,37.6937058533,1,9,0.6250773992698246,4.952272332323268,0.18241549061554466,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile
61,Bacillus megaterium,Specific Growth Rate,0.6789269455608835,321.85909034,45.1929674629,1,6,0.7856586472510059,2.882626619657508,0.09311951024177599,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile
62,Bacillus megaterium,Specific Growth Rate,0.5804884322821569,325.81620367,57.0509735114,1,7,0.4109170110862737,3.318079222054469,0.04680332315643703,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Thermophile
63,Bacillus megaterium,Specific Growth Rate,0.8299920428259053,308.85321514,23.9237238758,1,6,0.6596186474018134,2.2172791338786357,0.1103587491863616,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile
64,Bacillus megaterium,Specific Growth Rate,0.9902416646245298,337.65112827,102.33537463799999,1,5,1.6696493790816391,260.14470853113863,0.28184932775080884,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Thermophile
65,Bacillus megaterium,Specific Growth Rate,0.3642424189091096,315.5275,63.1241644662,1,8,0.3143548949834326,1.4920151658546807,0.06261553834909543,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile
66,Bacillus sp. a2,Specific Growth Rate,0.5503791963354709,340.4851,4.02548603749,1,4,2.8254440927228033,2.934770811996305,0.3132220150826464,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Thermophile
67,Bacillus sp. f70,Specific Growth Rate,1.3859000372832542,341.8416,20.776584804400002,1,3,2.879003897421206,4.871538529227341,0.4239121815160032,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Thermophile
68,Bacillus sp. ms30,Specific Growth Rate,1.1230246315745036,331.4065,10.785180005199999,1,5,0.6408425001513139,0.6544902682795543,0.17812824960539864,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,B10,Thermophile
70,Bacillus subtilis,Specific Growth Rate,0.8088565217659658,310.90385256,28.495169595900002,1,9,0.8113205038702641,2.1062089925473315,0.16869598641722638,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Aerobic,Mesophile
71,Blautia producta,Specific Growth Rate,2.2287254783002317,NA,NA,1,5,NA,NA,NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,E1,Mesophile
72,Bosea eneae,Specific Growth Rate,0.6502844742294518,299.673,0.39598163706600004,1,9,0.3511096552361613,0.01360983551009053,0.056178190758462594,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,Aerobic,Mesophile
